Post #,Sentiment
post1117,Positive Sentiment
post1118,Negative Sentiment
post1119,Positive Sentiment
post1120,Positive Sentiment
post1121,Neutral Sentiment
post1122,Neutral Sentiment
post1123,Positive Sentiment
post1124,Negative Sentiment
post1125,Neutral Sentiment
post1126,Positive Sentiment
post1127,Positive Sentiment
post1128,Positive Sentiment
post1129,Positive Sentiment
post1130,Neutral Sentiment
post1131,Neutral Sentiment
post1132,Positive Sentiment
post1133,Neutral Sentiment
post1134,Negative Sentiment
post1135,Neutral Sentiment
post1136,Positive Sentiment
post1137,Neutral Sentiment
post1138,Neutral Sentiment
post1139,Positive Sentiment
post1140,Positive Sentiment
post1141,Positive Sentiment
post1142,Neutral Sentiment
post1143,Positive Sentiment
post1144,Neutral Sentiment
post1145,Neutral Sentiment
post1146,Neutral Sentiment
post1147,Neutral Sentiment
post1148,Negative Sentiment
post1149,Positive Sentiment
post1150,Positive Sentiment
post1151,Neutral Sentiment
post1152,Neutral Sentiment
post1153,Neutral Sentiment
post1154,Neutral Sentiment
post1155,Positive Sentiment
post1156,Positive Sentiment
post1157,Negative Sentiment
post1158,Positive Sentiment
post1159,Positive Sentiment
post1160,Positive Sentiment
post1161,Positive Sentiment
post1162,Neutral Sentiment
post1163,Negative Sentiment
post1164,Negative Sentiment
post1165,Negative Sentiment
post1166,Neutral Sentiment
post1167,Positive Sentiment
post1168,Positive Sentiment
post1169,Neutral Sentiment
post1170,Positive Sentiment
post1171,Positive Sentiment
post1172,Neutral Sentiment
post1173,Neutral Sentiment
post1174,Negative Sentiment
post1175,Positive Sentiment
post1176,Neutral Sentiment
post1177,Positive Sentiment
post1178,Negative Sentiment
post1179,Negative Sentiment
post1180,Negative Sentiment
post1181,Positive Sentiment
post1182,Negative Sentiment
post1183,Neutral Sentiment
post1184,Positive Sentiment
post1185,Neutral Sentiment
post1186,Positive Sentiment
post1187,Neutral Sentiment
post1188,Neutral Sentiment
post1189,Neutral Sentiment
post1190,Neutral Sentiment
post1191,Positive Sentiment
post1192,Neutral Sentiment
post1193,Positive Sentiment
post1194,Positive Sentiment
post1195,Positive Sentiment
post1196,Positive Sentiment
post1197,Negative Sentiment
post1198,Negative Sentiment
post1199,Positive Sentiment
post1200,Positive Sentiment
post1201,Positive Sentiment
post1202,Neutral Sentiment
post1203,Positive Sentiment
post1204,Positive Sentiment
post1205,Positive Sentiment
post1206,Negative Sentiment
post1207,Neutral Sentiment
post1208,Positive Sentiment
post1209,Positive Sentiment
post1210,Neutral Sentiment
post1211,Positive Sentiment
post1212,Positive Sentiment
post1213,Positive Sentiment
post1214,Neutral Sentiment
post1215,Neutral Sentiment
post1216,Neutral Sentiment
post1217,Neutral Sentiment
post1218,Neutral Sentiment
post1219,Negative Sentiment
post1220,Negative Sentiment
post1221,Positive Sentiment
post1222,Neutral Sentiment
post1223,Neutral Sentiment
post1224,Neutral Sentiment
post1225,Neutral Sentiment
post1226,Positive Sentiment
post1227,Neutral Sentiment
post1228,Positive Sentiment
post1229,Neutral Sentiment
post1230,Positive Sentiment
post1231,Positive Sentiment
post1232,Positive Sentiment
post1233,Positive Sentiment
post1234,Positive Sentiment
post1235,Neutral Sentiment
post1236,Positive Sentiment
post1237,Positive Sentiment
post1238,Positive Sentiment
post1239,Neutral Sentiment
post1240,Neutral Sentiment
post1241,Positive Sentiment
post1242,Neutral Sentiment
post1243,Neutral Sentiment
post1244,Positive Sentiment
post1245,Positive Sentiment
post1246,Neutral Sentiment
post1247,Neutral Sentiment
post1248,Negative Sentiment
post1249,Positive Sentiment
post1250,Positive Sentiment
post1251,Positive Sentiment
