Post #,Sentiment
post659,Neutral Sentiment
post660,Positive Sentiment
post661,Neutral Sentiment
post662,Neutral Sentiment
post663,Negative Sentiment
post664,Positive Sentiment
post665,Neutral Sentiment
post666,Neutral Sentiment
post667,Neutral Sentiment
post668,Neutral Sentiment
post669,Positive Sentiment
post670,Neutral Sentiment
post671,Positive Sentiment
post672,Positive Sentiment
post673,Neutral Sentiment
post674,Positive Sentiment
post675,Positive Sentiment
post676,Neutral Sentiment
post677,Negative Sentiment
post678,Negative Sentiment
post679,Neutral Sentiment
post680,Negative Sentiment
post681,Negative Sentiment
post682,Positive Sentiment
post683,Positive Sentiment
post684,Positive Sentiment
post685,Neutral Sentiment
post686,Neutral Sentiment
post687,Positive Sentiment
post688,Positive Sentiment
post689,Negative Sentiment
post690,Neutral Sentiment
post691,Neutral Sentiment
post692,Neutral Sentiment
post693,Neutral Sentiment
post694,Negative Sentiment
post695,Positive Sentiment
post696,Positive Sentiment
post697,Positive Sentiment
post698,Neutral Sentiment
post699,Positive Sentiment
post700,Positive Sentiment
post701,Positive Sentiment
post702,Positive Sentiment
post703,Neutral Sentiment
post704,Positive Sentiment
post705,Neutral Sentiment
post706,Neutral Sentiment
post707,Neutral Sentiment
post708,Neutral Sentiment
post709,Neutral Sentiment
post710,Negative Sentiment
post711,Positive Sentiment
post712,Neutral Sentiment
post713,Positive Sentiment
post714,Negative Sentiment
post715,Positive Sentiment
post716,Positive Sentiment
post717,Neutral Sentiment
post718,Negative Sentiment
post719,Neutral Sentiment
post720,Neutral Sentiment
post721,Neutral Sentiment
post722,Neutral Sentiment
post723,Neutral Sentiment
post724,Neutral Sentiment
post725,Positive Sentiment
post726,Neutral Sentiment
post727,Neutral Sentiment
post728,Negative Sentiment
post729,Neutral Sentiment
post730,Negative Sentiment
post731,Negative Sentiment
post732,Neutral Sentiment
